Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,//delay/1,156,0,1006.9906250000713,1024.5761359615071,1006.9906250000713,1116.8953329997748,328.0,2.602620312794178,0.0,1000,1000,1000,1000,1000,1100,1100,1100,1100,1100,1100
,Aggregated,156,0,1006.9906250000713,1024.5761359615071,1006.9906250000713,1116.8953329997748,328.0,2.602620312794178,0.0,1000,1000,1000,1000,1000,1100,1100,1100,1100,1100,1100
